;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13
28;Jorg;-0.53441;-1.81537;-0.74796;-11.31128;8.74190;3.51739;France;3.74090;-3.56763;-997.37982;-0.99276;FALSE;-0.78804
29;Jorg;0.68490;1.39492;0.66203;-11.24884;9.74095;-5.63832;France;-4.18707;7.08028;-999.61167;-1.28945;TRUE;0.71340
30;20;1.26789;0.59464;0.59286;-10.84343;9.49969;-12.09708;France;-13.08673;13.93349;-999.03114;-0.31142;TRUE;0.68795
31;Jorg;1.93886;-0.57856;0.43300;-8.96877;9.91580;-19.79560;Croatia;-22.36481;17.90922;-998.13108;-1.12888;FALSE;0.57841
32;Jorg;1.79629;0.37541;0.69127;-10.25416;9.74882;-17.58552;Croatia;-18.90290;19.91129;-1000.95158;-1.05138;TRUE;0.82599
33;Atsuto;-1.20708;-0.04216;-0.39765;-12.31853;9.01679;11.97981;France;12.46245;-11.07730;-998.64602;-1.61067;FALSE;-0.48818
34;20;1.17934;0.74537;0.61266;-9.64677;10.34379;-11.06482;Croatia;-11.20031;11.83781;-1000.17131;-0.91438;TRUE;0.70111
35;20;1.76223;-0.22899;0.48804;-8.80671;10.29728;-17.92359;Croatia;-19.50799;17.25173;-998.40916;-3.48191;TRUE;0.62021
36;Jorg;-0.84769;-2.02058;-0.91300;-12.06325;8.29366;6.45139;Morocco;7.65381;-7.18924;-998.29235;-0.49945;FALSE;-0.97658
37;20;0.82896;-1.09996;-0.08626;-9.79242;9.81201;-9.51594;Croatia;-9.78043;8.68685;-998.02568;0.06902;FALSE;-0.02409
38;Jorg;0.56781;0.96005;0.48633;-10.41113;9.93360;-4.97181;Croatia;-6.94069;3.59227;-999.27871;-1.80392;TRUE;0.52892
39;Jorg;1.73730;0.15945;0.60376;-8.88561;10.28632;-17.32317;Croatia;-15.16366;20.45572;-998.21480;-1.94365;TRUE;0.73405
40;Jorg;2.26718;-0.29521;0.62770;-9.27952;10.10018;-23.14520;Croatia;-24.01694;27.15654;-997.76719;-0.04117;TRUE;0.79773
41;20;0.84383;-0.37877;0.14803;-11.50625;9.09752;-8.79648;France;-8.70738;12.71652;-996.33003;0.20271;FALSE;0.21132
42;Jorg;1.40483;0.71444;0.67459;-9.25313;10.33394;-13.16544;Croatia;-13.24916;15.10549;-1001.31979;1.85564;TRUE;0.77995
43;Jorg;-0.79855;-0.37443;-0.37337;-11.13311;9.40538;7.58989;France;7.42065;-8.35247;-998.81008;-0.67527;FALSE;-0.43326
44;Jorg;1.85224;-0.26311;0.50583;-9.13780;10.02387;-18.83007;Croatia;-18.45889;18.35972;-998.84847;-1.84622;TRUE;0.64475
45;Jorg;1.93186;-0.09260;0.58545;-8.84625;10.22031;-19.50359;Croatia;-17.39931;20.60085;-999.39071;-1.79714;TRUE;0.73034
46;Jorg;0.46514;-1.25601;-0.25174;-11.69935;8.74927;-6.00793;France;-5.60923;4.38326;-999.16243;0.54367;FALSE;-0.21686
47;Atsuto;0.85053;-0.61466;0.07508;-10.07780;9.62797;-9.18235;Croatia;-9.82158;9.58202;-998.44950;-0.59707;FALSE;0.13887
48;Atsuto;1.41977;0.04631;0.46667;-9.53817;10.00065;-14.26042;Croatia;-13.11859;15.17887;-998.15585;2.51467;TRUE;0.57315
49;Jorg;0.78043;-1.28474;-0.16053;-10.39911;9.18036;-9.23996;France;-9.74239;7.90623;-1001.60934;-0.08378;FALSE;-0.10199
50;Jorg;1.92625;1.54435;1.10472;-9.23992;10.51098;-17.66054;Croatia;-16.68839;16.57329;-1000.19994;0.71708;TRUE;1.24919
51;Jorg;2.16739;0.69760;0.91195;-8.57857;10.59087;-21.11955;Argentina;-21.41837;20.47879;-999.55392;-1.96860;TRUE;1.07451
52;20;-0.45346;-1.02293;-0.46995;-11.76498;9.02451;3.58719;France;3.37843;-4.74721;-998.44670;-0.77837;FALSE;-0.50396
53;Atsuto;0.74905;-0.25895;0.15600;-10.84032;9.35649;-7.73143;France;-7.21961;7.73864;-999.23317;2.70752;FALSE;0.21218
54;20;2.17166;0.35966;0.80574;-9.34618;10.15425;-21.22621;Croatia;-21.53389;20.49378;-995.47857;-2.45603;TRUE;0.96862
55;20;1.71708;0.95660;0.85106;-9.52948;10.06462;-16.32854;Croatia;-16.03054;14.35553;-996.51268;-1.01265;TRUE;0.97984
56;Jorg;1.88512;0.72055;0.82941;-9.62407;10.14495;-18.20096;Croatia;-19.79388;16.83956;-998.50871;0.65761;TRUE;0.97080
57;Atsuto;0.68934;-1.29949;-0.19422;-10.66734;9.11047;-8.22834;France;-7.26070;7.54818;-999.77048;-0.16130;FALSE;-0.14252
58;Bob;0.57188;-0.18959;0.12169;-9.63415;10.04883;-5.92000;Croatia;-6.57022;8.66135;-997.34372;-0.71689;FALSE;0.16458
59;Bob;1.90441;0.73163;0.83908;-10.62396;9.80901;-18.44497;Croatia;-19.77416;18.48175;-997.71192;-1.03989;TRUE;0.98191
60;20;0.88705;-0.15959;0.23156;-8.86859;10.40695;-9.00052;Croatia;-9.49506;7.81117;-997.95801;-0.18784;TRUE;0.29809
61;20;0.17284;-0.02825;0.04603;-10.98503;9.86078;-1.94456;France;-1.49155;2.56701;-999.40673;-0.96139;TRUE;0.05899
62;Bob;1.06723;0.22461;0.41121;-10.84781;9.83376;-10.50143;Croatia;-10.18905;11.41710;-998.12373;-1.68581;TRUE;0.49125
63;Atsuto;-0.26683;-0.41301;-0.21640;-11.38896;9.37703;2.20040;France;3.36351;-2.24906;-998.91349;3.41718;FALSE;-0.23641
64;Jorg;2.13494;0.45646;0.82487;-8.77294;10.27139;-20.90857;Croatia;-23.41740;19.33841;-998.80447;0.75689;TRUE;0.98499
65;20;0.85709;0.04634;0.28757;-9.15770;10.38422;-8.54012;Croatia;-7.43894;8.98339;-996.77614;-0.60587;TRUE;0.35185
66;Jorg;0.04233;-0.22109;-0.05690;-11.37943;9.10301;-0.53169;France;0.17832;-1.40867;-997.28305;-2.26747;FALSE;-0.05372
67;Jorg;0.92657;-0.40619;0.16564;-10.77604;9.33682;-9.65729;France;-9.24101;8.53725;-998.64412;-1.95939;FALSE;0.23513
68;20;1.28142;0.36234;0.52322;-11.14499;9.56995;-12.30705;France;-12.49515;12.50395;-998.14166;-0.76537;TRUE;0.61933
69;Atsuto;1.21196;0.12679;0.42614;-9.47097;10.13546;-11.98196;Croatia;-11.24397;11.07220;-1000.62118;-1.15455;TRUE;0.51703
70;20;0.84511;-0.97207;-0.04041;-9.58366;9.79320;-9.40060;Croatia;-9.24079;10.62795;-998.30196;-0.13698;FALSE;0.02297
71;20;1.59542;0.64021;0.71162;-10.90315;9.65084;-15.44394;France;-16.67087;14.89047;-996.82825;-1.71872;TRUE;0.83128
72;20;1.36284;1.37138;0.87033;-9.29555;10.85474;-12.13657;Croatia;-12.77279;13.90107;-996.43580;-2.05265;TRUE;0.97254
73;20;2.85420;0.34911;1.01964;-8.07693;10.92113;-28.09223;Argentina;-28.39039;27.31944;-996.64662;-2.13935;TRUE;1.23371
74;Atsuto;2.76539;0.78499;1.13012;-8.66970;10.49394;-26.90616;Croatia;-26.00728;26.31185;-998.75154;3.31517;TRUE;1.33753
75;Jorg;1.56697;-0.24847;0.41969;-9.48177;9.87529;-15.93933;Croatia;-14.61204;14.49146;-1001.13877;4.24436;TRUE;0.53721
76;Jorg;2.29886;-0.52613;0.56428;-9.25338;9.80065;-23.47030;Croatia;-20.92604;25.82786;-1001.47720;0.71052;TRUE;0.73669
77;20;1.32884;-0.95695;0.11838;-9.55327;9.59664;-14.32631;Croatia;-13.60590;14.51027;-995.14686;-2.77751;FALSE;0.21804
78;Jorg;0.76402;0.19798;0.30621;-10.93857;9.56370;-7.41915;France;-6.76556;8.38029;-999.48403;-1.16099;TRUE;0.36351
79;Jorg;0.98638;-1.28079;-0.09371;-10.12271;9.47948;-11.15009;Croatia;-10.61117;12.83878;-1001.81688;0.10688;FALSE;-0.01974
80;Atsuto;0.76681;-0.45401;0.09957;-10.34757;9.69321;-8.13313;Croatia;-8.58065;8.71321;-1000.37006;-1.76772;FALSE;0.15708
81;Bob;1.68877;-0.13882;0.49337;-9.81198;9.67246;-17.04168;Croatia;-14.34602;17.15125;-999.10122;-1.74737;TRUE;0.62003
82;Jorg;-0.58350;-0.97694;-0.49670;-12.37676;8.71703;4.99907;Morocco;5.80460;-3.79426;-1000.63697;-2.19171;FALSE;-0.54047
83;Jorg;1.08473;0.70080;0.56835;-9.66705;10.05887;-10.22684;Croatia;-8.63720;9.28156;-999.18546;-1.91410;TRUE;0.64971
84;20;1.63951;-0.33279;0.41594;-9.40851;9.90993;-16.69276;Croatia;-15.49982;18.60123;-996.02635;-2.63982;TRUE;0.53890
85;Bob;3.65554;-1.33896;0.73739;-8.43313;10.00326;-37.81296;Croatia;-36.05525;36.15401;-999.56149;-1.84973;FALSE;1.01156
86;Jorg;0.95786;0.51385;0.46846;-10.60542;9.68860;-8.96822;Croatia;-8.60895;10.64197;-1000.62811;4.60732;TRUE;0.54030
87;Jorg;-0.02657;-0.59882;-0.19907;-11.59553;9.03571;-0.41804;France;0.84454;3.03251;-999.32741;-1.66851;FALSE;-0.20106
88;Bob;-0.72607;-0.74661;-0.46877;-11.47424;9.28007;6.47644;France;6.28127;-4.19297;-999.54991;-2.80908;FALSE;-0.52323
89;Atsuto;0.92317;1.53289;0.78179;-9.58379;10.57867;-7.76707;Croatia;-7.99161;7.39574;-1000.56520;-2.16021;TRUE;0.85103
90;Bob;0.80346;0.10328;0.28862;-10.91925;9.55435;-7.79813;France;-9.22972;8.65474;-999.28070;-2.43187;TRUE;0.34888
91;20;1.07465;-1.28148;-0.06584;-10.52094;8.93323;-11.93329;France;-12.61259;9.13067;-999.28245;0.42412;FALSE;0.01476
92;Jorg;0.80668;-0.45246;0.11275;-10.73730;9.53954;-8.55015;France;-10.56782;7.33630;-998.98248;-0.93611;FALSE;0.17325
93;Jorg;2.12927;0.81331;0.93665;-8.62713;10.52815;-20.36791;Croatia;-18.39238;21.04952;-995.04797;-0.85859;TRUE;1.09635
94;20;0.55770;0.50006;0.33669;-10.78938;9.40510;-5.11909;France;-5.40968;5.18797;-998.88411;0.68258;TRUE;0.37852
95;Jorg;1.16136;0.87012;0.64664;-9.86102;10.22679;-10.63607;Croatia;-9.45607;10.12456;-999.93216;1.74387;TRUE;0.73374
96;Atsuto;3.07549;0.15109;1.02705;-7.87466;10.65812;-30.75048;Argentina;-31.26178;29.89694;-999.84901;1.63228;TRUE;1.25771
97;20;0.01185;0.95394;0.30742;-11.40999;9.82585;0.62493;France;1.18939;0.84180;-998.31133;-1.26910;TRUE;0.30831
98;Bob;2.18945;-0.24003;0.62052;-8.09797;10.46598;-22.17628;Argentina;-23.40092;23.82395;-998.80148;-4.09484;TRUE;0.78473
99;20;0.69045;-0.43995;0.07974;-9.56780;9.93050;-7.35820;Croatia;-8.70103;7.01990;-997.25106;-1.62139;FALSE;0.13152
100;Jorg;0.00247;-1.00376;-0.31872;-10.96153;9.16097;-1.01831;France;-0.55104;1.46232;-996.58041;0.07012;FALSE;-0.31854
101;Atsuto;-0.00084;-0.62085;-0.19789;-11.40641;9.06441;-0.62072;France;0.06123;1.54530;-996.97866;-1.84449;FALSE;-0.19795
102;20;1.17978;0.27758;0.46389;-9.71625;10.28721;-11.38575;Croatia;-11.45582;11.36718;-996.65803;-0.32362;TRUE;0.55237
103;Jorg;-0.03145;-0.39216;-0.13484;-11.68434;9.13376;-0.01396;France;-1.44395;-1.52635;-997.09001;-1.40481;FALSE;-0.13720
104;20;-0.97397;-0.16917;-0.36387;-12.55163;9.08241;9.51527;France;11.77096;-8.00450;-997.50530;-1.27014;FALSE;-0.43692
105;Jorg;1.25927;-0.85551;0.12852;-10.37083;9.36521;-13.40944;France;-13.78165;13.27131;-998.14360;-0.06655;FALSE;0.22297
106;Bob;-0.14608;-1.37950;-0.48561;-11.06177;8.90416;0.02979;France;1.28618;0.11229;-998.26807;-0.29078;FALSE;-0.49656
107;Atsuto;0.33992;0.75890;0.34976;-11.14417;9.55202;-2.73728;France;-2.99037;2.93793;-999.30491;2.69302;TRUE;0.37526
108;Bob;1.24745;-0.15727;0.34701;-8.91158;10.29920;-12.67579;Croatia;-12.55396;14.22340;-999.86697;-0.11890;TRUE;0.44057
109;Jorg;1.53251;-1.56965;-0.01182;-9.77113;9.22149;-16.71137;Croatia;-16.15957;16.11669;-997.85695;-0.49748;FALSE;0.10312
110;Jorg;1.55144;0.18383;0.55235;-9.26109;10.01334;-15.18477;Croatia;-12.90593;14.74612;-998.84265;-0.55936;TRUE;0.66871
111;Jorg;0.75398;-0.82521;-0.02268;-9.82891;9.56634;-8.25143;Croatia;-8.35092;8.43471;-997.98034;-1.29261;FALSE;0.03387
112;Jorg;1.76501;-0.12906;0.52074;-9.83887;9.89711;-17.73042;Croatia;-19.36143;13.73772;-997.87602;-2.97457;TRUE;0.65311
113;20;2.16510;0.73273;0.92241;-8.30350;10.84987;-21.08868;Argentina;-21.67432;22.53662;-997.93705;0.46693;TRUE;1.08479
114;Jorg;1.08898;-1.41291;-0.10311;-10.09226;9.30531;-12.29708;Croatia;-10.32016;13.02619;-999.55048;-1.48057;FALSE;-0.02144
115;Atsuto;0.99426;0.73026;0.54893;-9.78341;10.35223;-9.20611;Croatia;-8.84913;9.63080;-999.78406;1.80789;TRUE;0.62350
116;Bob;0.24867;-0.35088;-0.03253;-11.11679;9.50514;-2.78962;France;-5.45182;4.56631;-1000.46529;-2.45450;FALSE;-0.01388
117;Jorg;-0.31525;0.00064;-0.10014;-12.08195;8.98373;3.14350;France;2.70916;-2.75844;-999.53000;-0.74821;FALSE;-0.12379
118;Bob;2.89168;-0.50150;0.76082;-8.45000;10.05531;-29.34657;Croatia;-31.30887;29.78335;-999.02620;-1.89377;TRUE;0.97769
119;20;1.54235;-0.38827;0.36736;-9.44752;9.93911;-15.87682;Croatia;-16.02385;15.35907;-1000.74516;-1.37640;FALSE;0.48303
120;20;2.74222;0.64889;1.07942;-8.02567;10.81809;-26.74123;Argentina;-27.40376;27.63315;-995.53668;-1.30145;TRUE;1.28509
121;Bob;2.11086;-0.84394;0.40327;-8.87419;10.07940;-22.05805;Croatia;-20.09001;21.13487;-997.34738;-0.53470;FALSE;0.56159
122;Jorg;1.09536;-1.00879;0.02756;-10.28640;9.33783;-11.84418;Croatia;-10.91527;14.97044;-999.89876;0.46231;FALSE;0.10971
123;Jorg;0.35072;0.65481;0.32007;-10.86614;9.55773;-2.88194;France;-2.07974;3.74101;-999.62284;1.17321;TRUE;0.34638
124;Bob;1.13829;0.60355;0.55444;-9.33722;10.35705;-10.71933;Croatia;-9.05096;9.50749;-998.85362;-1.00230;TRUE;0.63981
125;20;0.86054;-0.45273;0.12981;-9.87753;9.69677;-9.01156;Croatia;-9.44325;8.51754;-999.00560;-0.12175;FALSE;0.19435
126;20;0.12873;0.34269;0.15006;-11.89922;9.39807;-0.95412;France;-2.25779;-1.74356;-998.48144;-2.39607;TRUE;0.15971
127;20;0.61449;-0.16280;0.14378;-11.57544;9.31787;-6.38227;France;-7.15795;6.01873;-995.76631;-1.74223;FALSE;0.18986
128;Jorg;1.58055;0.17356;0.55835;-9.70771;9.87896;-15.74918;Croatia;-14.48881;15.65947;-999.32429;0.66496;TRUE;0.67689
129;Atsuto;-1.49518;-0.77019;-0.72109;-12.47995;8.80642;14.19207;Morocco;15.26520;-14.36813;-998.82482;-2.32394;FALSE;-0.83323
130;Bob;1.11542;1.05167;0.68981;-11.26406;9.59347;-10.17457;France;-11.85651;10.41218;-1000.12446;2.46634;TRUE;0.77346
131;Jorg;1.13476;0.47686;0.51299;-10.12782;10.06688;-10.83343;Croatia;-12.04806;11.63213;-998.28182;-2.57868;TRUE;0.59810
132;Jorg;0.95901;0.85099;0.57614;-11.19285;9.61003;-8.71983;France;-8.33709;11.26399;-997.38007;-0.13997;TRUE;0.64807
133;20;2.31209;0.42761;0.87207;-9.93318;9.81164;-22.77026;Croatia;-22.92212;20.62162;-998.40479;-1.75449;TRUE;1.04548
134;Atsuto;1.17949;-0.12675;0.33510;-9.82422;9.94483;-11.94557;Croatia;-11.98297;12.67897;-1000.30884;0.82644;TRUE;0.42356
135;20;-0.53987;-0.79613;-0.42526;-11.74498;9.23320;4.64686;France;6.53663;-4.99558;-996.15075;-2.23656;FALSE;-0.46575
136;Jorg;1.16922;-1.05647;0.03589;-9.84995;9.31827;-12.75530;Croatia;-12.59476;14.10344;-996.85773;-1.47159;FALSE;0.12358
137;Jorg;0.61993;-0.32165;0.09495;-10.03275;9.67417;-6.63157;Croatia;-3.97248;7.61798;-999.35243;-1.18626;FALSE;0.14144
138;20;2.67547;-0.73881;0.61646;-9.52775;9.80857;-27.45195;Croatia;-27.86908;30.07801;-995.96326;-0.96057;FALSE;0.81712
139;Bob;0.92146;-0.11635;0.25627;-11.57126;9.11824;-9.23386;France;-6.04877;8.16755;-998.22930;-3.69358;TRUE;0.32538
140;Bob;2.80274;0.64868;1.09862;-9.06281;10.06635;-27.47528;Croatia;-26.63164;28.09523;-1000.03231;-2.37348;TRUE;1.30882
141;Atsuto;1.18553;0.04097;0.39041;-10.18180;9.66141;-11.75574;Croatia;-11.07249;12.29696;-999.12573;1.84424;TRUE;0.47932
142;Atsuto;1.44414;0.47833;0.61194;-10.19991;9.76913;-14.04909;Croatia;-14.71215;14.40623;-997.51691;4.92386;TRUE;0.72025
143;20;0.76685;0.25442;0.32508;-10.42841;9.76827;-7.40889;Croatia;-7.45145;6.55475;-996.18829;-1.85746;TRUE;0.38260
144;20;-0.73331;-0.34669;-0.34377;-12.73994;8.66603;6.95084;Morocco;4.64813;-6.39839;-999.85229;0.34126;FALSE;-0.39877
145;20;2.54694;-0.64231;0.60626;-9.46560;9.79988;-26.11634;Croatia;-26.49076;26.42719;-996.95712;0.71929;FALSE;0.79728
146;20;-0.24323;-0.35784;-0.19133;-11.44334;9.04343;2.18106;France;2.45666;-1.83072;-997.56990;-1.60066;FALSE;-0.20957
147;Jorg;0.85997;0.05630;0.29166;-9.77854;9.86656;-8.61104;Croatia;-8.44919;9.83717;-1002.25654;5.17235;TRUE;0.35615
148;Bob;0.52632;0.13349;0.21002;-11.64316;9.30960;-5.26764;France;-6.30017;3.78158;-999.64312;-3.37512;TRUE;0.24950
149;Jorg;3.04753;0.48836;1.12551;-8.27592;10.31642;-29.98957;Argentina;-32.31551;28.76260;-997.87644;-3.18778;TRUE;1.35407
150;Jorg;1.01534;0.15564;0.37273;-9.89123;9.95063;-10.09526;Croatia;-9.28041;11.77363;-1001.52168;1.46239;TRUE;0.44888
151;Jorg;0.16111;-0.34050;-0.05710;-11.98392;8.95540;-1.60648;France;-1.73142;1.84228;-1001.04015;2.98428;FALSE;-0.04502
152;Atsuto;0.59626;0.43073;0.32690;-10.76589;9.62828;-5.69799;France;-5.34208;6.50715;-999.11888;-1.98810;TRUE;0.37162
153;Atsuto;3.38119;1.28516;1.48534;-8.09092;10.78043;-32.62205;Argentina;-32.33122;32.74725;-996.83792;2.02723;TRUE;1.73893
154;Bob;0.91760;0.79550;0.54530;-11.41219;9.47095;-8.47902;France;-10.57444;9.67317;-999.10104;-2.30054;TRUE;0.61412
155;Bob;2.40923;0.51116;0.92959;-9.45722;10.06676;-23.47034;Croatia;-24.37992;22.82356;-999.93573;-1.31537;TRUE;1.11028
156;Atsuto;2.85284;0.74077;1.14388;-8.33861;10.53076;-27.94877;Argentina;-27.23315;27.41936;-1000.37684;1.02131;TRUE;1.35784
157;Bob;-0.47148;0.86369;0.12485;-11.42733;9.62439;5.62602;France;5.83379;-8.74308;-996.86927;-1.89631;TRUE;0.08948
158;20;2.49722;-0.63875;0.59157;-9.51416;9.64860;-25.70520;Croatia;-26.57809;26.39449;-997.34232;-2.86017;FALSE;0.77886
159;20;0.00872;-0.84581;-0.26645;-12.51598;8.56449;-0.86165;Morocco;-0.45842;0.81023;-999.24483;-1.68560;FALSE;-0.26580
160;Jorg;3.01424;1.45567;1.42282;-7.57014;11.16047;-28.72324;Argentina;-30.14780;28.26000;-1001.61851;2.24386;TRUE;1.64888
161;20;1.21235;-0.52066;0.22017;-9.08533;10.25734;-12.64428;Croatia;-11.18450;15.01983;-997.76941;0.42756;FALSE;0.31110
162;Jorg;-0.82409;-0.72155;-0.49199;-11.94711;8.97297;7.51093;France;7.85164;-7.96582;-995.78266;-0.63466;FALSE;-0.55380
163;20;1.64565;0.19264;0.58515;-9.30936;10.37798;-16.27932;Croatia;-15.87077;16.51719;-998.67716;-0.31867;TRUE;0.70857
164;Bob;-0.07033;-0.32358;-0.12539;-10.26955;9.81586;0.30534;Croatia;1.04046;-2.12982;-998.76803;-2.30859;FALSE;-0.13066
165;20;-0.21017;0.58432;0.11909;-10.97616;9.69776;2.66446;France;3.02548;-1.95895;-1001.39920;1.40011;TRUE;0.10333
166;Jorg;2.14613;0.65773;0.89250;-8.72841;10.45134;-20.85373;Croatia;-19.96653;19.50373;-996.96333;-0.92165;TRUE;1.05346
167;Bob;-0.46129;-0.27483;-0.23431;-11.52534;9.28397;4.28913;France;5.99591;-5.12909;-998.51525;-0.87145;FALSE;-0.26891
168;20;1.14838;0.70057;0.58854;-8.83139;10.72277;-10.77150;Croatia;-9.38848;12.23032;-997.97914;-1.31621;TRUE;0.67466
169;Bob;0.31724;-1.57484;-0.40030;-9.82520;9.55775;-4.69346;Croatia;-5.41900;7.02027;-1001.57307;0.14076;FALSE;-0.37651
170;20;2.01646;0.12990;0.68321;-9.57567;9.91449;-20.02560;Croatia;-19.61157;20.27119;-998.13860;-1.75901;TRUE;0.83444
171;Bob;1.16264;0.51234;0.53316;-11.40330;9.34624;-11.19085;France;-11.39775;12.76415;-999.06852;-2.30888;TRUE;0.62036
172;Bob;0.89988;1.07233;0.62777;-10.88292;9.62280;-7.85992;France;-9.24719;8.89557;-999.00274;-3.07559;TRUE;0.69527
173;Jorg;1.85603;0.09746;0.62182;-9.47563;10.09914;-18.42044;Croatia;-17.32154;16.71701;-997.31219;-1.20683;TRUE;0.76102
174;20;1.73573;0.58529;0.73880;-8.23014;10.86528;-16.68872;Argentina;-17.28234;14.66202;-998.28585;-2.50617;TRUE;0.86898
175;20;-0.46786;-0.09039;-0.17770;-11.36276;9.30642;4.66520;France;4.92362;-2.20126;-997.29945;-1.01618;FALSE;-0.21279
176;Bob;1.46647;-0.17526;0.41100;-9.38130;9.85067;-14.93017;Croatia;-16.34255;16.23371;-999.48970;-1.29424;TRUE;0.52099
177;20;2.84400;0.28335;0.99547;-8.05518;10.43732;-28.29612;Argentina;-27.58774;29.16130;-1000.45681;-0.23621;TRUE;1.20877
178;20;-0.39552;-0.62858;-0.32598;-12.23134;8.76876;3.42309;Morocco;2.33240;-2.12568;-998.78577;-0.61970;FALSE;-0.35564
179;Atsuto;0.93941;-0.59046;0.11107;-9.89148;9.79370;-9.79442;Croatia;-10.45328;10.63037;-1000.33485;-2.53144;FALSE;0.18153
180;20;2.74149;0.70356;1.09659;-9.03457;10.36066;-26.73919;Croatia;-26.82610;27.64421;-997.50569;0.00121;TRUE;1.30220
181;Bob;2.10839;-0.21473;0.60277;-8.85642;10.36739;-21.36105;Croatia;-21.55256;22.59800;-998.52845;-1.71248;TRUE;0.76090
182;Bob;1.02080;-1.07699;-0.01789;-11.65215;8.79938;-11.32445;France;-10.44512;10.68159;-999.42442;-1.07695;FALSE;0.05867
